Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
"Patrick Liebi & Partner, Vorsorge- und Finanzplanungszentrum GmbH",Wettingen,,FINMA,1,Regulated financial services,Portfolio manager
Patrimoine Capital AG,Zug,,FINMA,1,Regulated financial services,Manager of collective assets
Patrimonium Asset Management AG,Baar,,FINMA,1,Regulated financial services,Fund management company
Pätzold Investment Management,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Paul Bauder AG,Schwyz,https://www.bauder.ag/ch/bauder-schweiz.html,swisscleantech,1,Cleantech / energy,"Baugewerbe / Immobilien, Energiewirtschaft"
Paul Büetiger AG,Canton of Solothurn,https://www.buetiger.ch/,Swiss Medtech,1,Medical technology,
Paul Geissbühler + Partner AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Paul Scherrer Institut PSI,Villigen PSI,http://www.psi.ch/,Swissmechanic,1,Industry / SMEs,"Paul Scherrer Institut PSI, Forschungsstrasse 111, 5232 Villigen PSI"
PAUL WICKI PERSONAL AG,6343 Rotkreuz,https://www.swissstaffing.ch/en/Members/index.php?id=26985,Swiss Staffing,1,Staffing / HR,
Paular SA,Canton of Geneva,https://www.gaps.dental/,Swiss Medtech,1,Medical technology,
Pavese AG,Canton of Lucerne; Schenkon,https://www.pavese.ch/,Swiss Medtech; Swissmechanic,2,Industry / SMEs; Medical technology,"Pavese AG, Zellgut 10, 6214 Schenkon"
Pax Asset Management AG,Basel,,FINMA,1,Regulated financial services,Manager of collective assets
"Pax, Schweizerische Lebensversicherungs-Gesellschaft AG",Basel,,FINMA; swissICT,2,ICT / digital; Regulated financial services,Life insurance company
PAXMATIC AG,Haldenstein,http://www.paxmatic.com/,Swissmechanic,1,Industry / SMEs,"PAXMATIC AG, Oldisstrasse 55, 7023 Haldenstein"
Payrexx AG,,https://www.swissmadesoftware.org/en/companies/payrexx-ag/home.html,Swiss Made Software,1,Software,
Payroll House AG,4057 Basel,https://www.swissstaffing.ch/en/Members/index.php?id=10017,Swiss Staffing,1,Staffing / HR,
PB IHAG AG,8022 Zurich; Zürich,http://www.pbihag.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
PB Swiss Tools AG,Canton of Bern; Wasen im Emmental,https://www.pbswisstools.com/,Swiss Medtech; Swissmechanic; Swissmem,3,Industry / engineering; Industry / SMEs; Medical technology,"PB Swiss Tools AG, Bahnhofstrasse 24, 3457 Wasen im Emmental"
PB Thur AG,Lichtensteig,,FINMA,1,Regulated financial services,Portfolio manager
PBT AG,Weinfelden,http://www.pbt-ag.ch/,Swissmechanic,1,Industry / SMEs,"PBT AG, Dufourstrasse 71, 8570 Weinfelden"
PCam SA,,https://www.swissmadesoftware.org/en/companies/pcam-sa/home.html,Swiss Made Software,1,Software,
PCM Willen SA,Villeneuve,http://www.pcm.ch/,Swissmechanic,1,Industry / SMEs,"PCM Willen SA, Rte du Grammont 101, 1844 Villeneuve"
pdc Marketing + Information Technology AG,Wettingen,,swissICT,1,ICT / digital,
PDF Tools AG,,https://www.swissmadesoftware.org/en/companies/pdf-tools-ag/home.html,Swiss Made Software,1,Software,
Peak Mobility GmbH,,https://peakmobility.de/,Swissrail,1,Rail / transport technology,
Peak Reinsurance AG,Zürich,,FINMA,1,Regulated financial services,Professional reinsurer
Peakside Capital Advisors AG,Zug,,FINMA,1,Regulated financial services,Manager of collective assets
Peakteq GmbH,8201 Schaffhausen,https://peakteq.ch/,Swico,1,ICT / consumer electronics,
Pearl Technology AG,Canton of Zurich,https://www.pearl-technology.ch/,Swiss Medtech,1,Medical technology,
pebe AG,,https://www.swissmadesoftware.org/en/companies/pebe-ag/home.html,Swiss Made Software,1,Software,
PebEx AG,Zug,,swissICT,1,ICT / digital,
PECSO,Walchwil,https://www.pecso.ch,Swissolar,1,Solar / energy,Haltenstrasse 21
PEDeus AG,Canton of Zurich,https://www.pedeus.ch/,Swiss Medtech,1,Medical technology,
Peerdom,,https://www.swissmadesoftware.org/en/companies/peerdom/home.html,Swiss Made Software,1,Software,
PEERTOOLS AG,Ftan,https://www.peertools.ch,Swissmem,1,Industry / engineering,
Pegaso Capital Partners SA,Lugano,,FINMA,1,Regulated financial services,Manager of collective assets
Pegasus Investment Services AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Pegasus Swiss AG,Rotkreuz,,FINMA,1,Regulated financial services,Portfolio manager
Peka-Metall AG,Luzern; Mosen,http://www.peka.com/,swisscleantech; Swissmechanic,2,Cleantech / energy; Industry / SMEs,"Peka-Metall AG, Luzernerstrasse 20, 6295 Mosen; Produktion / Industrie"
PEKAM AG,Mägenwil,,FINMA,1,Regulated financial services,Manager of collective assets
Peko AG,5330 Bad Zurzach,https://www.peko-ag.ch,Swiss Staffing; Swissrail,2,Rail / transport technology; Staffing / HR,
Pekutech GmbH,Ottenbach,http://pekutech.ch/,Swissmechanic,1,Industry / SMEs,"Pekutech GmbH, Affolternstrasse 4, 8913 Ottenbach"
PELLETmobil AG,Aargau,http://www.pellet-mobil.ch,swisscleantech,1,Cleantech / energy,Produktion / Industrie
Pemag Mechanik AG,Egliswil,https://www.pemag-mechanik.ch/,Swissmechanic,1,Industry / SMEs,"Pemag Mechanik AG, Binzenholzstrasse 18, 5704 Egliswil"
Pemaro Vermögensverwaltung AG,Basel,,FINMA,1,Regulated financial services,Portfolio manager
Pemat AG,Oberriet SG,https://www.pemat.ch,Swissmem,1,Industry / engineering,
PENSADOR Partner AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Pensimo Fondsleitung AG,Zürich,,FINMA,1,Regulated financial services,Fund management company
Pensimo Management AG,Zürich,,swissICT,1,ICT / digital,
PensionDynamics AG,Rotkreuz,,swissICT,1,ICT / digital,
Pensionskasse der Siemens-Gesellschaften,Zürich,https://www.pk-siemens.ch,Swissmem,1,Industry / engineering,
Pensionskasse Rheinmetall,Zürich,,Swissmem,1,Industry / engineering,
Pensofinance SA,Lausanne,,FINMA,1,Regulated financial services,Manager of collective assets
PENTA ASSET MANAGEMENT SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
PENTAG Informatik AG,,https://www.swissmadesoftware.org/en/companies/pentag-informatik-ag/home.html,Swiss Made Software,1,Software,
pepssolaire sous-traitent dans le montage de photovoltaïque,Appenzell,https://,Swissolar,1,Solar / energy,weissbadstrasse 8b
PER4M SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
Perennium SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Performance Consultant SA,1201 Genève,https://www.swissstaffing.ch/en/Members/index.php?id=15529,Swiss Staffing,1,Staffing / HR,
PerformCoat Europe AG,Rüthi (Rheintal),https://www.performcoat.com,Swissmem,1,Industry / engineering,
Performetriks GmbH,,https://www.swissmadesoftware.org/en/companies/performetriks-gmbh/home.html,Swiss Made Software,1,Software,
Perimeter Protection Schweiz AG,Samstagern,https://www.perimeterprotection.ch,Swissmem,1,Industry / engineering,
Periso SA,Canton of Ticino,https://periso.ch/,Swiss Medtech,1,Medical technology,
PERLE FAMILY OFFICE GmbH,Meggen,,FINMA,1,Regulated financial services,Portfolio manager
Perlen Papier AG,Perlen,http://www.perlen.ch/,Swissmechanic,1,Industry / SMEs,"Perlen Papier AG, Perlenring 1, 6035 Perlen"
Permapack AG,Rorschach,http://www.permapack.ch/,Swissmechanic,1,Industry / SMEs,"Permapack AG, Reitbahnstrasse 51, 9401 Rorschach"
permedica switzerland SA,Canton of Ticino,https://www.permedica.com/,Swiss Medtech,1,Medical technology,
Permobil AG,Canton of Obwalden,https://www.permobil.com/,Swiss Medtech,1,Medical technology,
Permutation Net Zero Advisory GmbH,Zürich,https://www.permutation.earth/,swisscleantech,1,Cleantech / energy,Beratung / Consulting
Pernet Portfolio Management,Bäch SZ,,FINMA,1,Regulated financial services,Portfolio manager
Perpetual Wealth AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Perrot Image SA,2560 Nidau,https://perrot-image.ch/,Swico,1,ICT / consumer electronics,
Perroud Electricité SA,Dombresson,https://perroud-electricite.ch,Swissolar,1,Solar / energy,Grand-Rue 12a
Persag AG,2555 Brügg b. Biel,https://www.swissstaffing.ch/en/Members/index.php?id=16432,Swiss Staffing,1,Staffing / HR,
Persanesth GmbH,5400 Baden,https://www.swissstaffing.ch/en/Members/index.php?id=39707,Swiss Staffing,1,Staffing / HR,
Persigo AG,6005 Luzern; 6370 Stans,https://www.swissstaffing.ch/en/Members/index.php?id=13981,Swiss Staffing,1,Staffing / HR,
persoenlich.com,,,digitalswitzerland,1,Digital economy,
persona service GmbH Schweiz,4052 Basel; 8001 Zürich,https://www.swissstaffing.ch/en/Members/index.php?id=19288,Swiss Staffing,1,Staffing / HR,
Personal + Temporär AG,3018 Bern,https://www.swissstaffing.ch/en/Members/index.php?id=40315,Swiss Staffing,1,Staffing / HR,
Personal Contact AG,4132 Muttenz,https://www.swissstaffing.ch/en/Members/index.php?id=24502,Swiss Staffing,1,Staffing / HR,
Personal Contact Basel AG,4051 Basel,https://www.swissstaffing.ch/en/Members/index.php?id=16468,Swiss Staffing,1,Staffing / HR,
Personal Contact Group AG,4132 Muttenz,https://www.swissstaffing.ch/en/Members/index.php?id=16317,Swiss Staffing,1,Staffing / HR,
Personal Contact Laufen AG,4242 Laufen,https://www.swissstaffing.ch/en/Members/index.php?id=16319,Swiss Staffing,1,Staffing / HR,
Personal Contact Rheinfelden AG,4310 Rheinfelden,https://www.swissstaffing.ch/en/Members/index.php?id=16469,Swiss Staffing,1,Staffing / HR,
Personal ONE AG,8003 Zürich,https://www.swissstaffing.ch/en/Members/index.php?id=31241,Swiss Staffing,1,Staffing / HR,
Personal Sigma Aarau AG,5000 Aarau,https://www.swissstaffing.ch/en/Members/index.php?id=14091,Swiss Staffing,1,Staffing / HR,
Personal Sigma Altdorf & Stans AG,6370 Oberdorf; 6460 Altdorf,https://www.swissstaffing.ch/en/Members/index.php?id=38266,Swiss Staffing,1,Staffing / HR,
Personal Sigma Basel AG,4053 Basel,https://www.swissstaffing.ch/en/Members/index.php?id=20080,Swiss Staffing,1,Staffing / HR,
Personal Sigma Schwyz AG,6430 Schwyz,https://www.swissstaffing.ch/en/Members/index.php?id=13979,Swiss Staffing,1,Staffing / HR,
Personal Sigma Sursee AG,6210 Sursee,https://www.swissstaffing.ch/en/Members/index.php?id=17948,Swiss Staffing,1,Staffing / HR,
personalberatung das team (Liechtenstein) ag,9494 Schaan,https://www.swissstaffing.ch/en/Members/index.php?id=37952,Swiss Staffing,1,Staffing / HR,
PersonalFinder AG,9323 Steinach,https://www.swissstaffing.ch/en/Members/index.php?id=39559,Swiss Staffing,1,Staffing / HR,
Personi AG,3860 Meiringen,https://www.swissstaffing.ch/en/Members/index.php?id=36834,Swiss Staffing,1,Staffing / HR,
Perspektiven - Agentur für Werbung & Design,,https://www.swissmadesoftware.org/en/companies/perspektiven-agentur-fuer-werbung/home.html,Swiss Made Software,1,Software,
Perwi-Mécanique SA,Attalens,http://www.perwi.ch/,Swissmechanic,1,Industry / SMEs,"Perwi-Mécanique SA, 4, Ch. des Artisans, 1616 Attalens"
PESTALOZZI + CIE SA,Lonay,http://www.pestalozzi.com/,Swissmechanic,1,Industry / SMEs,"PESTALOZZI + CIE SA, Route de Denges 28C, 1027 Lonay"
Pestalozzi AG,Dietikon; Le Mont-sur-Lausanne,https://www.pestalozzi.com/,Swissmechanic,1,Industry / SMEs,"Pestalozzi AG, Riedstrasse 1, 8953 Dietikon; Pestalozzi SA, Chemin de Longeraie 86, 1052 Le Mont-sur-Lausanne"
Peter Beschnidt Consulting International,Bern,,Swissmem,1,Industry / engineering,
Peter Brehm Schweiz GmbH,Canton of Zurich,https://www.peter-brehm.ch/,Swiss Medtech,1,Medical technology,
PETER FUCHS TECHNOLOGY GROUP AG,Andelfingen,https://www.fuchstechnology.ch,Swissmem,1,Industry / engineering,
Peter Heusser Maschinenbau AG,Wetzikon ZH,http://www.heussermaschinenbau.ch/,Swissmechanic,1,Industry / SMEs,"Peter Heusser Maschinenbau AG, Bolstrasse 1, 8620 Wetzikon ZH"
Peter J. Lehner & Partner AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
Peter Lehmann AG,Bärau,http://www.lehmann-rotary-tables.com,Swissmem,1,Industry / engineering,
Peter Meyer & Co. AG,Schaffhausen,,Swissmechanic,1,Industry / SMEs,"Peter Meyer & Co. AG, Buchbergstrasse 20, 8200 Schaffhausen"
PETER NÜNLIST AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Peter Stritt AG,Othmarsingen,https://www.peterstritt.ch/,Swissolar,1,Solar / energy,Ahornweg 9
Peter-Mechanik AG,Holderbank,http://www.peter-mechanik.ch/,Swissmechanic,1,Industry / SMEs,"Peter-Mechanik AG, Postweg 5, 5113 Holderbank"
Petesa GmbH,Basel,https://www.petesa.ch,Swissolar,1,Solar / energy,Neuweilerstrasse 60
Petiole Asset Management AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Petra Ognjenovic Switzerland,Canton of Zurich,,Swiss Medtech,1,Medical technology,
pevena GmbH,8570 Weinfelden,https://www.swissstaffing.ch/en/Members/index.php?id=13298,Swiss Staffing,1,Staffing / HR,
PEZAG AG,Bischofszell,https://pezag.ch/,Swissmechanic; Swissolar,2,Industry / SMEs; Solar / energy,"Eichenstrasse 3; PEZAG AG, Eichenstrasse 3, 9220 Bischofszell"
Pfalz Finanz AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Pfandbriefbank schweizerischer Hypothekarinstitute AG,8050 Zurich; Zürich,http://www.pfandbriefbank.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Mortgage bond institution
Pfandbriefzentrale der schweizerischen Kantonalbanken AG,8001 Zurich; Zürich,http://www.pfandbriefzentrale.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Mortgage bond institution
Pfeffersack,,https://www.swissmadesoftware.org/en/companies/pfeffersack/home.html,Swiss Made Software,1,Software,
Pfiffner Elektrotechnik GmbH,Trübbach; Wangs,https://www.pfiffner-et.ch,Swissolar,1,Solar / energy,Dorfstrasse 38; Seidenbaum 9
Pfiffner Schaltgeräte AG,Grenchen,https://www.pfiffner-group.com/de/ueber-uns/unternehmen/alpha-et,Swissmem; Swissrail,2,Industry / engineering; Rail / transport technology,
pfis group ag,,https://www.swissmadesoftware.org/en/companies/pfis-group-ag/home.html,Swiss Made Software,1,Software,
Pfister Werkzeugbau AG,Mönchaltorf,https://www.pfwag.ch,Swissmem,1,Industry / engineering,
Pfizer AG,Schärenmoosstr. 99 8052 Zürich,https://www.pfizer.ch,Interpharma; scienceindustries,2,Pharma / biotech / chemistry; Research-based pharma,
Pflegehilfe Schweiz AG,8834 Schindellegi,https://www.swissstaffing.ch/en/Members/index.php?id=27435,Swiss Staffing,1,Staffing / HR,
pfm medical cpp SA,Canton of Neuenburg,https://www.pfmmedical.com/,Swiss Medtech,1,Medical technology,
PFP Hefele & Partner AG,Pfäffikon ZH,,FINMA,1,Regulated financial services,Portfolio manager
PFYN Capital AG,Genève,,FINMA,1,Regulated financial services,Portfolio manager
PG3 AG,Baar,,FINMA,1,Regulated financial services,Manager of collective assets
PG3 Insurance Core AG,Baar,,FINMA,1,Regulated financial services,Manager of collective assets
PH Financial Services AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
PH Networks AG,6280 Hochdorf,https://phnetworks.ch/,Swico,1,ICT / consumer electronics,
Phaidon International (Schweiz) GmbH,8005 Zürich,https://www.swissstaffing.ch/en/Members/index.php?id=25666,Swiss Staffing,1,Staffing / HR,
Phanar Asset Management AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
Pharma Distribution Services GmbH,Canton of Zurich,https://www.phadise.ch/,Swiss Medtech,1,Medical technology,
pharma services oehler gmbh,Canton of Schwyz,https://www.pharma-services.ch/,Swiss Medtech,1,Medical technology,
Pharmalex GmbH,Canton of Bern,https://www.pharmalex.ch/,Swiss Medtech,1,Medical technology,
Pharmanalytica SA,Via Balestra 31 6601 Locarno,https://,scienceindustries,1,Pharma / biotech / chemistry,
Pharmapost AG,Canton of Bern,https://www.pharmapost.swiss/,Swiss Medtech,1,Medical technology,
Pharmed Solutions AG,,https://www.swissmadesoftware.org/en/companies/pharmed-solutions-ag/home.html,Swiss Made Software,1,Software,
Pharus Asset Management SA,Mendrisio,,FINMA,1,Regulated financial services,Manager of collective assets; Representatives of foreign collective investment schemes (CISA)
phibus Informatik GmbH,,https://www.swissmadesoftware.org/en/companies/phibus-informatik-gmbh/home.html,Swiss Made Software,1,Software,
PhiComp AG,Arbon,,Swissmem,1,Industry / engineering,
Philip Morris International,,,digitalswitzerland,1,Digital economy,
Philips AG,Canton of Zurich,https://www.philips.ch/healthcare,Swiss Medtech,1,Medical technology,
Philos & Partners AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Phoenix Contact AG,Tagelswangen,http://www.phoenixcontact.ch,Swissolar; Swissrail,2,Rail / transport technology; Solar / energy,Zürcherstrasse 22
Phoenix Finance SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Phoenix Mecano Solutions AG,Stein am Rhein,https://www.phoenix-mecano.ch/,Swissmechanic,1,Industry / SMEs,"Phoenix Mecano Solutions AG, Hofwisenstrasse 6, 8260 Stein am Rhein"
Phoenix Systems AG,,https://www.swissmadesoftware.org/en/companies/phoenix-systems-ag/home.html,Swiss Made Software,1,Software,
Phoenix Technologies AG,Pfäffikon SZ,,digitalswitzerland; swissICT,2,Digital economy; ICT / digital,
Phosphor Asset Management SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
Photon One SA,Fribourg,https://solarphoton.ch,Swissolar,1,Solar / energy,Avenue Tivoli 3
PhotonicEnergy GmbH,Kesswil,https://www.photonicenergy.ch,Swissolar,1,Solar / energy,Bahnhofstrasse 3
PHOTOSUN,Plan-les-Ouates; Vétroz,https://www.photosun.ch,Swissolar,1,Solar / energy,Route de Saint-Julien 184A; Route des Ateliers 41
PHW Hochschule Wirtschaft Bern AG,Bern,http://www.phw-bern.ch/,swisscleantech,1,Cleantech / energy,
Physiogene GmbH,Canton of Freiburg,https://www.physiogene.ch/,Swiss Medtech,1,Medical technology,
Pibomulti S.A.,Le Locle,https://www.pibomulti.com,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Pibomulti S.A., Rue de la Jambe-Ducommun 18, 2400 Le Locle"
Pibor Iso S.A.,Glovelier,https://www.pibor.ch/,Swissmechanic,1,Industry / SMEs,"Pibor Iso S.A., Rue de la Transjurane 20, 2855 Glovelier"
